5 Minutes	Flow (Veh/5 Minutes)	# Lane Points	% Observed
04/23/2017 00:00	318.0	4	50.0
04/23/2017 00:05	260.0	4	50.0
04/23/2017 00:10	256.0	4	50.0
04/23/2017 00:15	235.0	4	50.0
04/23/2017 00:20	217.0	4	50.0
04/23/2017 00:25	215.0	4	50.0
04/23/2017 00:30	234.0	4	50.0
04/23/2017 00:35	205.0	4	50.0
04/23/2017 00:40	200.0	4	50.0
04/23/2017 00:45	205.0	4	50.0
04/23/2017 00:50	196.0	4	50.0
04/23/2017 00:55	169.0	4	50.0
04/23/2017 01:00	176.0	4	50.0
04/23/2017 01:05	178.0	4	50.0
04/23/2017 01:10	159.0	4	50.0
04/23/2017 01:15	168.0	4	50.0
04/23/2017 01:20	160.0	4	50.0
04/23/2017 01:25	138.0	4	50.0
04/23/2017 01:30	148.0	4	50.0
04/23/2017 01:35	125.0	4	50.0
04/23/2017 01:40	151.0	4	50.0
04/23/2017 01:45	148.0	4	50.0
04/23/2017 01:50	143.0	4	50.0
04/23/2017 01:55	140.0	4	50.0
04/23/2017 02:00	144.0	4	50.0
04/23/2017 02:05	147.0	4	50.0
04/23/2017 02:10	166.0	4	50.0
04/23/2017 02:15	141.0	4	50.0
04/23/2017 02:20	144.0	4	50.0
04/23/2017 02:25	138.0	4	50.0
04/23/2017 02:30	155.0	4	50.0
04/23/2017 02:35	133.0	4	50.0
04/23/2017 02:40	145.0	4	50.0
04/23/2017 02:45	131.0	4	50.0
04/23/2017 02:50	126.0	4	50.0
04/23/2017 02:55	119.0	4	50.0
04/23/2017 03:00	110.0	4	50.0
04/23/2017 03:05	93.0	4	50.0
04/23/2017 03:10	101.0	4	50.0
04/23/2017 03:15	106.0	4	50.0
04/23/2017 03:20	97.0	4	50.0
04/23/2017 03:25	97.0	4	50.0
04/23/2017 03:30	87.0	4	50.0
04/23/2017 03:35	97.0	4	50.0
04/23/2017 03:40	118.0	4	50.0
04/23/2017 03:45	107.0	4	50.0
04/23/2017 03:50	93.0	4	50.0
04/23/2017 03:55	92.0	4	50.0
04/23/2017 04:00	93.0	4	50.0
04/23/2017 04:05	102.0	4	50.0
04/23/2017 04:10	94.0	4	50.0
04/23/2017 04:15	111.0	4	50.0
04/23/2017 04:20	150.0	4	50.0
04/23/2017 04:25	122.0	4	50.0
04/23/2017 04:30	123.0	4	50.0
04/23/2017 04:35	153.0	4	50.0
04/23/2017 04:40	133.0	4	50.0
04/23/2017 04:45	158.0	4	50.0
04/23/2017 04:50	117.0	4	50.0
04/23/2017 04:55	148.0	4	50.0
04/23/2017 05:00	115.0	4	50.0
04/23/2017 05:05	125.0	4	50.0
04/23/2017 05:10	146.0	4	50.0
04/23/2017 05:15	135.0	4	50.0
04/23/2017 05:20	153.0	4	50.0
04/23/2017 05:25	143.0	4	50.0
04/23/2017 05:30	144.0	4	50.0
04/23/2017 05:35	146.0	4	50.0
04/23/2017 05:40	173.0	4	50.0
04/23/2017 05:45	168.0	4	50.0
04/23/2017 05:50	156.0	4	50.0
04/23/2017 05:55	142.0	4	50.0
04/23/2017 06:00	139.0	4	50.0
04/23/2017 06:05	155.0	4	50.0
04/23/2017 06:10	162.0	4	50.0
04/23/2017 06:15	180.0	4	50.0
04/23/2017 06:20	202.0	4	50.0
04/23/2017 06:25	197.0	4	50.0
04/23/2017 06:30	246.0	4	50.0
04/23/2017 06:35	200.0	4	50.0
04/23/2017 06:40	218.0	4	50.0
04/23/2017 06:45	218.0	4	50.0
04/23/2017 06:50	218.0	4	50.0
04/23/2017 06:55	226.0	4	50.0
04/23/2017 07:00	210.0	4	50.0
04/23/2017 07:05	184.0	4	50.0
04/23/2017 07:10	226.0	4	50.0
04/23/2017 07:15	209.0	4	50.0
04/23/2017 07:20	228.0	4	50.0
04/23/2017 07:25	213.0	4	50.0
04/23/2017 07:30	231.0	4	50.0
04/23/2017 07:35	220.0	4	50.0
04/23/2017 07:40	236.0	4	50.0
04/23/2017 07:45	261.0	4	50.0
04/23/2017 07:50	239.0	4	50.0
04/23/2017 07:55	218.0	4	50.0
04/23/2017 08:00	221.0	4	50.0
04/23/2017 08:05	245.0	4	50.0
04/23/2017 08:10	257.0	4	50.0
04/23/2017 08:15	267.0	4	50.0
04/23/2017 08:20	282.0	4	50.0
04/23/2017 08:25	293.0	4	50.0
04/23/2017 08:30	280.0	4	50.0
04/23/2017 08:35	280.0	4	50.0
04/23/2017 08:40	302.0	4	50.0
04/23/2017 08:45	320.0	4	50.0
04/23/2017 08:50	337.0	4	50.0
04/23/2017 08:55	327.0	4	50.0
04/23/2017 09:00	354.0	4	50.0
04/23/2017 09:05	324.0	4	50.0
04/23/2017 09:10	402.0	4	50.0
04/23/2017 09:15	363.0	4	50.0
04/23/2017 09:20	388.0	4	50.0
04/23/2017 09:25	383.0	4	50.0
04/23/2017 09:30	392.0	4	50.0
04/23/2017 09:35	440.0	4	50.0
04/23/2017 09:40	401.0	4	50.0
04/23/2017 09:45	409.0	4	50.0
04/23/2017 09:50	432.0	4	50.0
04/23/2017 09:55	388.0	4	50.0
04/23/2017 10:00	451.0	4	50.0
04/23/2017 10:05	423.0	4	50.0
04/23/2017 10:10	401.0	4	50.0
04/23/2017 10:15	310.0	4	0.0
04/23/2017 10:20	448.0	4	50.0
04/23/2017 10:25	437.0	4	50.0
04/23/2017 10:30	444.0	4	50.0
04/23/2017 10:35	459.0	4	50.0
04/23/2017 10:40	477.0	4	50.0
04/23/2017 10:45	451.0	4	50.0
04/23/2017 10:50	483.0	4	50.0
04/23/2017 10:55	448.0	4	50.0
04/23/2017 11:00	421.0	4	50.0
04/23/2017 11:05	455.0	4	50.0
04/23/2017 11:10	490.0	4	50.0
04/23/2017 11:15	438.0	4	50.0
04/23/2017 11:20	442.0	4	50.0
04/23/2017 11:25	447.0	4	50.0
04/23/2017 11:30	471.0	4	50.0
04/23/2017 11:35	468.0	4	50.0
04/23/2017 11:40	480.0	4	50.0
