5 Minutes	Flow (Veh/5 Minutes)	# Lane Points	% Observed
01/22/2017 00:00	173.0	4	100.0
01/22/2017 00:05	177.0	4	100.0
01/22/2017 00:10	181.0	4	100.0
01/22/2017 00:15	173.0	4	100.0
01/22/2017 00:20	173.0	4	100.0
01/22/2017 00:25	177.0	4	100.0
01/22/2017 00:30	148.0	4	100.0
01/22/2017 00:35	148.0	4	100.0
01/22/2017 00:40	205.0	4	100.0
01/22/2017 00:45	169.0	4	100.0
01/22/2017 00:50	149.0	4	100.0
01/22/2017 00:55	165.0	4	100.0
01/22/2017 01:00	151.0	4	100.0
01/22/2017 01:05	104.0	4	100.0
01/22/2017 01:10	123.0	4	100.0
01/22/2017 01:15	130.0	4	100.0
01/22/2017 01:20	135.0	4	100.0
01/22/2017 01:25	116.0	4	100.0
01/22/2017 01:30	109.0	4	100.0
01/22/2017 01:35	144.0	4	100.0
01/22/2017 01:40	95.0	4	100.0
01/22/2017 01:45	137.0	4	100.0
01/22/2017 01:50	99.0	4	100.0
01/22/2017 01:55	84.0	4	100.0
01/22/2017 02:00	95.0	4	100.0
01/22/2017 02:05	85.0	4	100.0
01/22/2017 02:10	136.0	4	100.0
01/22/2017 02:15	117.0	4	100.0
01/22/2017 02:20	109.0	4	100.0
01/22/2017 02:25	102.0	4	100.0
01/22/2017 02:30	70.0	4	100.0
01/22/2017 02:35	14.0	4	100.0
01/22/2017 02:40	24.0	4	100.0
01/22/2017 02:45	58.0	4	100.0
01/22/2017 02:50	75.0	4	100.0
01/22/2017 02:55	285.0	4	100.0
01/22/2017 03:00	69.0	4	100.0
01/22/2017 03:05	94.0	4	100.0
01/22/2017 03:10	57.0	4	100.0
01/22/2017 03:15	88.0	4	100.0
01/22/2017 03:20	60.0	4	100.0
01/22/2017 03:25	74.0	4	100.0
01/22/2017 03:30	82.0	4	100.0
01/22/2017 03:35	49.0	4	100.0
01/22/2017 03:40	62.0	4	100.0
01/22/2017 03:45	50.0	4	100.0
01/22/2017 03:50	68.0	4	100.0
01/22/2017 03:55	64.0	4	100.0
01/22/2017 04:00	72.0	4	100.0
01/22/2017 04:05	42.0	4	100.0
01/22/2017 04:10	38.0	4	100.0
01/22/2017 04:15	45.0	4	100.0
01/22/2017 04:20	42.0	4	100.0
01/22/2017 04:25	31.0	4	100.0
01/22/2017 04:30	30.0	4	100.0
01/22/2017 04:35	34.0	4	100.0
01/22/2017 04:40	27.0	4	100.0
01/22/2017 04:45	31.0	4	100.0
01/22/2017 04:50	33.0	4	100.0
01/22/2017 04:55	40.0	4	100.0
01/22/2017 05:00	56.0	4	100.0
01/22/2017 05:05	41.0	4	100.0
01/22/2017 05:10	28.0	4	100.0
01/22/2017 05:15	38.0	4	100.0
01/22/2017 05:20	43.0	4	100.0
01/22/2017 05:25	46.0	4	100.0
01/22/2017 05:30	60.0	4	100.0
01/22/2017 05:35	40.0	4	100.0
01/22/2017 05:40	48.0	4	100.0
01/22/2017 05:45	42.0	4	100.0
01/22/2017 05:50	46.0	4	100.0
01/22/2017 05:55	49.0	4	100.0
01/22/2017 06:00	37.0	4	100.0
01/22/2017 06:05	34.0	4	100.0
01/22/2017 06:10	42.0	4	100.0
01/22/2017 06:15	57.0	4	100.0
01/22/2017 06:20	53.0	4	100.0
01/22/2017 06:25	67.0	4	100.0
01/22/2017 06:30	56.0	4	100.0
01/22/2017 06:35	68.0	4	100.0
01/22/2017 06:40	75.0	4	100.0
01/22/2017 06:45	80.0	4	100.0
01/22/2017 06:50	101.0	4	100.0
01/22/2017 06:55	67.0	4	100.0
01/22/2017 07:00	62.0	4	100.0
01/22/2017 07:05	58.0	4	100.0
01/22/2017 07:10	56.0	4	100.0
01/22/2017 07:15	78.0	4	100.0
01/22/2017 07:20	84.0	4	100.0
01/22/2017 07:25	97.0	4	100.0
01/22/2017 07:30	84.0	4	100.0
01/22/2017 07:35	74.0	4	100.0
01/22/2017 07:40	80.0	4	100.0
01/22/2017 07:45	66.0	4	100.0
01/22/2017 07:50	82.0	4	100.0
01/22/2017 07:55	110.0	4	100.0
01/22/2017 08:00	86.0	4	100.0
