5 Minutes	Flow (Veh/5 Minutes)	# Lane Points	% Observed
01/08/2017 00:00	205.0	4	100.0
01/08/2017 00:05	185.0	4	100.0
01/08/2017 00:10	172.0	4	100.0
01/08/2017 00:15	144.0	4	100.0
01/08/2017 00:20	160.0	4	100.0
01/08/2017 00:25	164.0	4	100.0
01/08/2017 00:30	180.0	4	100.0
01/08/2017 00:35	168.0	4	100.0
01/08/2017 00:40	150.0	4	100.0
01/08/2017 00:45	146.0	4	100.0
01/08/2017 00:50	127.0	4	100.0
01/08/2017 00:55	121.0	4	100.0
01/08/2017 01:00	135.0	4	100.0
01/08/2017 01:05	114.0	4	100.0
01/08/2017 01:10	141.0	4	100.0
01/08/2017 01:15	102.0	4	100.0
01/08/2017 01:20	123.0	4	100.0
01/08/2017 01:25	120.0	4	100.0
01/08/2017 01:30	121.0	4	100.0
01/08/2017 01:35	84.0	4	100.0
01/08/2017 01:40	104.0	4	100.0
01/08/2017 01:45	108.0	4	100.0
01/08/2017 01:50	91.0	4	100.0
01/08/2017 01:55	114.0	4	100.0
01/08/2017 02:00	120.0	4	100.0
01/08/2017 02:05	113.0	4	100.0
01/08/2017 02:10	116.0	4	100.0
01/08/2017 02:15	98.0	4	100.0
01/08/2017 02:20	95.0	4	100.0
01/08/2017 02:25	94.0	4	100.0
01/08/2017 02:30	118.0	4	100.0
01/08/2017 02:35	107.0	4	100.0
01/08/2017 02:40	118.0	4	100.0
01/08/2017 02:45	90.0	4	100.0
01/08/2017 02:50	80.0	4	100.0
01/08/2017 02:55	85.0	4	100.0
01/08/2017 03:00	68.0	4	100.0
01/08/2017 03:05	83.0	4	100.0
01/08/2017 03:10	69.0	4	100.0
01/08/2017 03:15	89.0	4	100.0
01/08/2017 03:20	80.0	4	100.0
01/08/2017 03:25	59.0	4	100.0
01/08/2017 03:30	69.0	4	100.0
01/08/2017 03:35	86.0	4	100.0
01/08/2017 03:40	74.0	4	100.0
01/08/2017 03:45	63.0	4	100.0
01/08/2017 03:50	57.0	4	100.0
01/08/2017 03:55	85.0	4	100.0
01/08/2017 04:00	36.0	4	100.0
01/08/2017 04:05	92.0	4	100.0
01/08/2017 04:10	80.0	4	100.0
01/08/2017 04:15	83.0	4	100.0
01/08/2017 04:20	74.0	4	100.0
01/08/2017 04:25	75.0	4	100.0
01/08/2017 04:30	103.0	4	100.0
01/08/2017 04:35	81.0	4	100.0
01/08/2017 04:40	92.0	4	100.0
01/08/2017 04:45	100.0	4	100.0
01/08/2017 04:50	88.0	4	100.0
01/08/2017 04:55	87.0	4	100.0
01/08/2017 05:00	95.0	4	100.0
01/08/2017 05:05	116.0	4	100.0
01/08/2017 05:10	124.0	4	100.0
01/08/2017 05:15	116.0	4	100.0
01/08/2017 05:20	111.0	4	100.0
01/08/2017 05:25	124.0	4	100.0
01/08/2017 05:30	138.0	4	100.0
01/08/2017 05:35	161.0	4	100.0
01/08/2017 05:40	160.0	4	100.0
01/08/2017 05:45	128.0	4	100.0
01/08/2017 05:50	115.0	4	100.0
01/08/2017 05:55	138.0	4	100.0
01/08/2017 06:00	118.0	4	100.0
