5 Minutes	Flow (Veh/5 Minutes)	# Lane Points	% Observed
06/11/2017 00:00	198.0	4	50.0
06/11/2017 00:05	171.0	4	50.0
06/11/2017 00:10	138.0	4	50.0
06/11/2017 00:15	26.0	4	50.0
06/11/2017 00:20	46.0	4	50.0
06/11/2017 00:25	305.0	4	50.0
06/11/2017 00:30	401.0	4	50.0
06/11/2017 00:35	182.0	4	50.0
06/11/2017 00:40	176.0	4	50.0
06/11/2017 00:45	172.0	4	50.0
06/11/2017 00:50	143.0	4	50.0
06/11/2017 00:55	142.0	4	50.0
06/11/2017 01:00	142.0	4	50.0
06/11/2017 01:05	137.0	4	50.0
06/11/2017 01:10	141.0	4	50.0
06/11/2017 01:15	144.0	4	50.0
06/11/2017 01:20	164.0	4	50.0
06/11/2017 01:25	147.0	4	50.0
06/11/2017 01:30	124.0	4	50.0
06/11/2017 01:35	125.0	4	50.0
06/11/2017 01:40	119.0	4	50.0
06/11/2017 01:45	128.0	4	50.0
06/11/2017 01:50	131.0	4	50.0
06/11/2017 01:55	139.0	4	50.0
06/11/2017 02:00	117.0	4	50.0
06/11/2017 02:05	108.0	4	50.0
06/11/2017 02:10	106.0	4	50.0
06/11/2017 02:15	109.0	4	50.0
06/11/2017 02:20	114.0	4	50.0
06/11/2017 02:25	164.0	4	50.0
06/11/2017 02:30	125.0	4	50.0
06/11/2017 02:35	119.0	4	50.0
06/11/2017 02:40	133.0	4	50.0
06/11/2017 02:45	126.0	4	50.0
06/11/2017 02:50	105.0	4	50.0
06/11/2017 02:55	101.0	4	50.0
06/11/2017 03:00	75.0	4	50.0
06/11/2017 03:05	97.0	4	50.0
06/11/2017 03:10	99.0	4	50.0
06/11/2017 03:15	115.0	4	50.0
06/11/2017 03:20	83.0	4	50.0
06/11/2017 03:25	105.0	4	50.0
06/11/2017 03:30	115.0	4	50.0
06/11/2017 03:35	93.0	4	50.0
06/11/2017 03:40	88.0	4	50.0
06/11/2017 03:45	121.0	4	50.0
06/11/2017 03:50	120.0	4	50.0
06/11/2017 03:55	127.0	4	50.0
06/11/2017 04:00	118.0	4	50.0
06/11/2017 04:05	92.0	4	50.0
06/11/2017 04:10	80.0	4	50.0
06/11/2017 04:15	122.0	4	50.0
06/11/2017 04:20	125.0	4	50.0
06/11/2017 04:25	116.0	4	50.0
06/11/2017 04:30	127.0	4	50.0
06/11/2017 04:35	114.0	4	50.0
06/11/2017 04:40	134.0	4	50.0
06/11/2017 04:45	97.0	4	50.0
06/11/2017 04:50	118.0	4	50.0
06/11/2017 04:55	122.0	4	50.0
06/11/2017 05:00	152.0	4	25.0
06/11/2017 05:05	131.0	4	25.0
06/11/2017 05:10	130.0	4	25.0
06/11/2017 05:15	152.0	4	25.0
06/11/2017 05:20	159.0	4	25.0
06/11/2017 05:25	161.0	4	25.0
06/11/2017 05:30	175.0	4	25.0
06/11/2017 05:35	166.0	4	25.0
06/11/2017 05:40	151.0	4	25.0
06/11/2017 05:45	154.0	4	25.0
06/11/2017 05:50	185.0	4	25.0
06/11/2017 05:55	169.0	4	25.0
06/11/2017 06:00	149.0	4	25.0
06/11/2017 06:05	170.0	4	25.0
06/11/2017 06:10	170.0	4	25.0
06/11/2017 06:15	180.0	4	25.0
06/11/2017 06:20	196.0	4	25.0
06/11/2017 06:25	187.0	4	25.0
06/11/2017 06:30	223.0	4	25.0
06/11/2017 06:35	221.0	4	25.0
06/11/2017 06:40	202.0	4	25.0
06/11/2017 06:45	202.0	4	25.0
06/11/2017 06:50	206.0	4	25.0
06/11/2017 06:55	205.0	4	25.0
06/11/2017 07:00	203.0	4	25.0
06/11/2017 07:05	222.0	4	25.0
06/11/2017 07:10	232.0	4	25.0
06/11/2017 07:15	170.0	4	50.0
06/11/2017 07:20	210.0	4	50.0
06/11/2017 07:25	217.0	4	50.0
06/11/2017 07:30	223.0	4	50.0
06/11/2017 07:35	240.0	4	50.0
06/11/2017 07:40	213.0	4	50.0
06/11/2017 07:45	293.0	4	50.0
06/11/2017 07:50	243.0	4	50.0
06/11/2017 07:55	266.0	4	50.0
06/11/2017 08:00	266.0	4	50.0
06/11/2017 08:05	206.0	4	50.0
06/11/2017 08:10	199.0	4	50.0
06/11/2017 08:15	306.0	4	50.0
06/11/2017 08:20	256.0	4	50.0
06/11/2017 08:25	291.0	4	50.0
06/11/2017 08:30	265.0	4	50.0
06/11/2017 08:35	330.0	4	50.0
06/11/2017 08:40	311.0	4	50.0
06/11/2017 08:45	320.0	4	50.0
06/11/2017 08:50	329.0	4	50.0
06/11/2017 08:55	343.0	4	50.0
06/11/2017 09:00	335.0	4	50.0
06/11/2017 09:05	356.0	4	50.0
06/11/2017 09:10	334.0	4	50.0
06/11/2017 09:15	369.0	4	50.0
06/11/2017 09:20	344.0	4	50.0
06/11/2017 09:25	371.0	4	50.0
06/11/2017 09:30	345.0	4	50.0
06/11/2017 09:35	396.0	4	50.0
06/11/2017 09:40	327.0	4	50.0
06/11/2017 09:45	359.0	4	50.0
06/11/2017 09:50	282.0	4	50.0
06/11/2017 09:55	297.0	4	50.0
06/11/2017 10:00	407.0	4	50.0
06/11/2017 10:05	407.0	4	50.0
06/11/2017 10:10	373.0	4	50.0
06/11/2017 10:15	410.0	4	50.0
06/11/2017 10:20	452.0	4	50.0
06/11/2017 10:25	409.0	4	50.0
06/11/2017 10:30	417.0	4	50.0
06/11/2017 10:35	416.0	4	50.0
06/11/2017 10:40	418.0	4	50.0
06/11/2017 10:45	448.0	4	50.0
06/11/2017 10:50	446.0	4	50.0
06/11/2017 10:55	399.0	4	50.0
06/11/2017 11:00	421.0	4	50.0
06/11/2017 11:05	410.0	4	50.0
06/11/2017 11:10	429.0	4	50.0
06/11/2017 11:15	430.0	4	50.0
06/11/2017 11:20	403.0	4	0.0
06/11/2017 11:25	384.0	4	0.0
06/11/2017 11:30	421.0	4	0.0
06/11/2017 11:35	441.0	4	50.0
06/11/2017 11:40	412.0	4	50.0
06/11/2017 11:45	394.0	4	50.0
06/11/2017 11:50	429.0	4	50.0
06/11/2017 11:55	465.0	4	50.0
06/11/2017 12:00	410.0	4	50.0
06/11/2017 12:05	442.0	4	50.0
06/11/2017 12:10	434.0	4	50.0
06/11/2017 12:15	384.0	4	50.0
06/11/2017 12:20	381.0	4	50.0
06/11/2017 12:25	448.0	4	50.0
06/11/2017 12:30	447.0	4	50.0
06/11/2017 12:35	424.0	4	50.0
06/11/2017 12:40	435.0	4	50.0
06/11/2017 12:45	447.0	4	50.0
06/11/2017 12:50	398.0	4	50.0
06/11/2017 12:55	408.0	4	50.0
06/11/2017 13:00	406.0	4	50.0
06/11/2017 13:05	398.0	4	50.0
06/11/2017 13:10	434.0	4	50.0
06/11/2017 13:15	441.0	4	50.0
06/11/2017 13:20	452.0	4	50.0
06/11/2017 13:25	404.0	4	50.0
06/11/2017 13:30	428.0	4	50.0
06/11/2017 13:35	492.0	4	50.0
06/11/2017 13:40	458.0	4	50.0
06/11/2017 13:45	473.0	4	50.0
06/11/2017 13:50	400.0	4	50.0
06/11/2017 13:55	469.0	4	50.0
06/11/2017 14:00	432.0	4	50.0
06/11/2017 14:05	491.0	4	50.0
06/11/2017 14:10	446.0	4	50.0
06/11/2017 14:15	458.0	4	50.0
06/11/2017 14:20	476.0	4	50.0
06/11/2017 14:25	479.0	4	50.0
06/11/2017 14:30	464.0	4	50.0
06/11/2017 14:35	499.0	4	50.0
06/11/2017 14:40	528.0	4	50.0
06/11/2017 14:45	483.0	4	50.0
06/11/2017 14:50	494.0	4	50.0
06/11/2017 14:55	457.0	4	50.0
06/11/2017 15:00	494.0	4	50.0
06/11/2017 15:05	428.0	4	50.0
06/11/2017 15:10	460.0	4	50.0
06/11/2017 15:15	455.0	4	50.0
06/11/2017 15:20	484.0	4	50.0
06/11/2017 15:25	411.0	4	50.0
06/11/2017 15:30	502.0	4	50.0
06/11/2017 15:35	465.0	4	50.0
06/11/2017 15:40	452.0	4	50.0
06/11/2017 15:45	434.0	4	50.0
06/11/2017 15:50	485.0	4	50.0
06/11/2017 15:55	446.0	4	50.0
06/11/2017 16:00	478.0	4	50.0
06/11/2017 16:05	488.0	4	50.0
06/11/2017 16:10	460.0	4	50.0
06/11/2017 16:15	509.0	4	50.0
06/11/2017 16:20	514.0	4	50.0
06/11/2017 16:25	475.0	4	50.0
06/11/2017 16:30	478.0	4	50.0
06/11/2017 16:35	500.0	4	50.0
06/11/2017 16:40	473.0	4	50.0
06/11/2017 16:45	513.0	4	50.0
06/11/2017 16:50	487.0	4	50.0
06/11/2017 16:55	368.0	4	50.0
06/11/2017 17:00	485.0	4	50.0
06/11/2017 17:05	513.0	4	50.0
06/11/2017 17:10	547.0	4	50.0
06/11/2017 17:15	485.0	4	50.0
06/11/2017 17:20	487.0	4	50.0
06/11/2017 17:25	481.0	4	50.0
06/11/2017 17:30	527.0	4	50.0
06/11/2017 17:35	523.0	4	50.0
06/11/2017 17:40	530.0	4	50.0
06/11/2017 17:45	503.0	4	50.0
06/11/2017 17:50	478.0	4	50.0
06/11/2017 17:55	441.0	4	50.0
06/11/2017 18:00	444.0	4	50.0
06/11/2017 18:05	469.0	4	50.0
06/11/2017 18:10	477.0	4	50.0
06/11/2017 18:15	477.0	4	50.0
06/11/2017 18:20	451.0	4	50.0
06/11/2017 18:25	468.0	4	50.0
06/11/2017 18:30	429.0	4	50.0
06/11/2017 18:35	430.0	4	50.0
06/11/2017 18:40	450.0	4	50.0
06/11/2017 18:45	417.0	4	50.0
06/11/2017 18:50	473.0	4	50.0
06/11/2017 18:55	359.0	4	50.0
06/11/2017 19:00	308.0	4	50.0
06/11/2017 19:05	319.0	4	50.0
06/11/2017 19:10	331.0	4	50.0
06/11/2017 19:15	415.0	4	50.0
06/11/2017 19:20	368.0	4	50.0
06/11/2017 19:25	404.0	4	50.0
06/11/2017 19:30	437.0	4	50.0
06/11/2017 19:35	423.0	4	50.0
06/11/2017 19:40	400.0	4	50.0
06/11/2017 19:45	445.0	4	50.0
06/11/2017 19:50	400.0	4	50.0
06/11/2017 19:55	411.0	4	50.0
06/11/2017 20:00	415.0	4	50.0
06/11/2017 20:05	435.0	4	50.0
06/11/2017 20:10	406.0	4	50.0
06/11/2017 20:15	418.0	4	50.0
06/11/2017 20:20	398.0	4	50.0
06/11/2017 20:25	405.0	4	50.0
06/11/2017 20:30	390.0	4	50.0
06/11/2017 20:35	432.0	4	50.0
06/11/2017 20:40	416.0	4	50.0
06/11/2017 20:45	406.0	4	50.0
06/11/2017 20:50	422.0	4	50.0
06/11/2017 20:55	384.0	4	50.0
06/11/2017 21:00	404.0	4	50.0
06/11/2017 21:05	367.0	4	50.0
06/11/2017 21:10	352.0	4	50.0
06/11/2017 21:15	394.0	4	50.0
06/11/2017 21:20	366.0	4	50.0
06/11/2017 21:25	355.0	4	50.0
06/11/2017 21:30	427.0	4	50.0
06/11/2017 21:35	415.0	4	50.0
06/11/2017 21:40	422.0	4	50.0
06/11/2017 21:45	391.0	4	50.0
06/11/2017 21:50	353.0	4	50.0
06/11/2017 21:55	382.0	4	50.0
06/11/2017 22:00	378.0	4	50.0
06/11/2017 22:05	388.0	4	50.0
06/11/2017 22:10	353.0	4	50.0
06/11/2017 22:15	321.0	4	50.0
06/11/2017 22:20	269.0	4	50.0
06/11/2017 22:25	231.0	4	50.0
06/11/2017 22:30	239.0	4	50.0
06/11/2017 22:35	242.0	4	50.0
06/11/2017 22:40	259.0	4	50.0
06/11/2017 22:45	224.0	4	50.0
06/11/2017 22:50	224.0	4	50.0
06/11/2017 22:55	213.0	4	50.0
06/11/2017 23:00	199.0	4	50.0
06/11/2017 23:05	168.0	4	50.0
06/11/2017 23:10	184.0	4	50.0
06/11/2017 23:15	146.0	4	50.0
06/11/2017 23:20	150.0	4	50.0
06/11/2017 23:25	198.0	4	50.0
06/11/2017 23:30	161.0	4	50.0
06/11/2017 23:35	193.0	4	50.0
06/11/2017 23:40	170.0	4	50.0
06/11/2017 23:45	143.0	4	50.0
06/11/2017 23:50	160.0	4	50.0
06/11/2017 23:55	154.0	4	50.0
06/12/2017 00:00	176.0	4	25.0
06/12/2017 00:05	190.0	4	25.0
06/12/2017 00:10	182.0	4	25.0
06/12/2017 00:15	160.0	4	25.0
06/12/2017 00:20	178.0	4	25.0
06/12/2017 00:25	138.0	4	25.0
06/12/2017 00:30	138.0	4	25.0
06/12/2017 00:35	136.0	4	25.0
06/12/2017 00:40	146.0	4	25.0
06/12/2017 00:45	113.0	4	25.0
06/12/2017 00:50	118.0	4	25.0
06/12/2017 00:55	130.0	4	25.0
06/12/2017 01:00	97.0	4	25.0
06/12/2017 01:05	104.0	4	25.0
06/12/2017 01:10	86.0	4	25.0
06/12/2017 01:15	101.0	4	25.0
06/12/2017 01:20	91.0	4	25.0
06/12/2017 01:25	90.0	4	25.0
06/12/2017 01:30	95.0	4	25.0
06/12/2017 01:35	81.0	4	25.0
06/12/2017 01:40	75.0	4	25.0
06/12/2017 01:45	72.0	4	25.0
06/12/2017 01:50	70.0	4	25.0
06/12/2017 01:55	70.0	4	25.0
06/12/2017 02:00	83.0	4	25.0
06/12/2017 02:05	57.0	4	25.0
06/12/2017 02:10	72.0	4	25.0
06/12/2017 02:15	85.0	4	25.0
06/12/2017 02:20	78.0	4	25.0
06/12/2017 02:25	59.0	4	25.0
06/12/2017 02:30	57.0	4	25.0
06/12/2017 02:35	59.0	4	25.0
06/12/2017 02:40	51.0	4	25.0
06/12/2017 02:45	64.0	4	25.0
06/12/2017 02:50	75.0	4	25.0
06/12/2017 02:55	72.0	4	25.0
06/12/2017 03:00	68.0	4	25.0
06/12/2017 03:05	64.0	4	25.0
06/12/2017 03:10	69.0	4	25.0
06/12/2017 03:15	81.0	4	25.0
06/12/2017 03:20	82.0	4	25.0
06/12/2017 03:25	83.0	4	25.0
06/12/2017 03:30	91.0	4	25.0
06/12/2017 03:35	80.0	4	25.0
06/12/2017 03:40	94.0	4	25.0
06/12/2017 03:45	123.0	4	25.0
06/12/2017 03:50	113.0	4	25.0
06/12/2017 03:55	136.0	4	25.0
06/12/2017 04:00	104.0	4	25.0
06/12/2017 04:05	125.0	4	25.0
06/12/2017 04:10	149.0	4	25.0
06/12/2017 04:15	133.0	4	25.0
06/12/2017 04:20	176.0	4	25.0
06/12/2017 04:25	185.0	4	25.0
06/12/2017 04:30	192.0	4	25.0
06/12/2017 04:35	210.0	4	25.0
06/12/2017 04:40	210.0	4	25.0
06/12/2017 04:45	240.0	4	25.0
06/12/2017 04:50	241.0	4	25.0
06/12/2017 04:55	260.0	4	25.0
06/12/2017 05:00	218.0	4	25.0
06/12/2017 05:05	246.0	4	25.0
06/12/2017 05:10	263.0	4	25.0
06/12/2017 05:15	259.0	4	25.0
06/12/2017 05:20	272.0	4	25.0
06/12/2017 05:25	222.0	4	25.0
06/12/2017 05:30	273.0	4	25.0
06/12/2017 05:35	288.0	4	25.0
06/12/2017 05:40	262.0	4	25.0
06/12/2017 05:45	316.0	4	25.0
06/12/2017 05:50	309.0	4	25.0
06/12/2017 05:55	282.0	4	25.0
06/12/2017 06:00	312.0	4	25.0
06/12/2017 06:05	340.0	4	25.0
06/12/2017 06:10	323.0	4	25.0
06/12/2017 06:15	363.0	4	25.0
06/12/2017 06:20	396.0	4	25.0
06/12/2017 06:25	369.0	4	25.0
06/12/2017 06:30	432.0	4	25.0
06/12/2017 06:35	455.0	4	25.0
06/12/2017 06:40	470.0	4	25.0
06/12/2017 06:45	420.0	4	25.0
06/12/2017 06:50	462.0	4	25.0
06/12/2017 06:55	452.0	4	25.0
06/12/2017 07:00	454.0	4	25.0
06/12/2017 07:05	450.0	4	25.0
06/12/2017 07:10	453.0	4	25.0
06/12/2017 07:15	456.0	4	25.0
06/12/2017 07:20	479.0	4	25.0
06/12/2017 07:25	453.0	4	25.0
06/12/2017 07:30	472.0	4	25.0
06/12/2017 07:35	462.0	4	25.0
06/12/2017 07:40	470.0	4	25.0
06/12/2017 07:45	455.0	4	25.0
06/12/2017 07:50	474.0	4	25.0
06/12/2017 07:55	448.0	4	25.0
06/12/2017 08:00	433.0	4	25.0
06/12/2017 08:05	480.0	4	25.0
06/12/2017 08:10	429.0	4	25.0
06/12/2017 08:15	429.0	4	25.0
06/12/2017 08:20	429.0	4	25.0
06/12/2017 08:25	396.0	4	25.0
06/12/2017 08:30	447.0	4	25.0
06/12/2017 08:35	436.0	4	25.0
06/12/2017 08:40	424.0	4	25.0
06/12/2017 08:45	435.0	4	25.0
06/12/2017 08:50	415.0	4	25.0
06/12/2017 08:55	441.0	4	25.0
06/12/2017 09:00	444.0	4	25.0
06/12/2017 09:05	418.0	4	25.0
06/12/2017 09:10	371.0	4	25.0
06/12/2017 09:15	444.0	4	25.0
06/12/2017 09:20	380.0	4	25.0
06/12/2017 09:25	452.0	4	25.0
06/12/2017 09:30	383.0	4	25.0
06/12/2017 09:35	440.0	4	25.0
06/12/2017 09:40	418.0	4	25.0
06/12/2017 09:45	450.0	4	25.0
06/12/2017 09:50	432.0	4	25.0
06/12/2017 09:55	413.0	4	25.0
06/12/2017 10:00	466.0	4	25.0
06/12/2017 10:05	411.0	4	25.0
06/12/2017 10:10	393.0	4	25.0
06/12/2017 10:15	402.0	4	25.0
06/12/2017 10:20	381.0	4	25.0
06/12/2017 10:25	380.0	4	25.0
06/12/2017 10:30	397.0	4	25.0
06/12/2017 10:35	382.0	4	25.0
06/12/2017 10:40	427.0	4	25.0
06/12/2017 10:45	347.0	4	25.0
06/12/2017 10:50	439.0	4	25.0
06/12/2017 10:55	390.0	4	25.0
06/12/2017 11:00	423.0	4	25.0
06/12/2017 11:05	413.0	4	25.0
06/12/2017 11:10	387.0	4	25.0
