5 Minutes	Flow (Veh/5 Minutes)	# Lane Points	% Observed
02/12/2017 00:00	186.0	4	100.0
02/12/2017 00:05	175.0	4	100.0
02/12/2017 00:10	185.0	4	100.0
02/12/2017 00:15	170.0	4	100.0
02/12/2017 00:20	169.0	4	100.0
02/12/2017 00:25	148.0	4	100.0
02/12/2017 00:30	157.0	4	100.0
02/12/2017 00:35	136.0	4	100.0
02/12/2017 00:40	131.0	4	100.0
02/12/2017 00:45	133.0	4	100.0
02/12/2017 00:50	119.0	4	100.0
02/12/2017 00:55	136.0	4	100.0
02/12/2017 01:00	116.0	4	100.0
02/12/2017 01:05	137.0	4	100.0
02/12/2017 01:10	111.0	4	100.0
02/12/2017 01:15	108.0	4	100.0
02/12/2017 01:20	116.0	4	100.0
02/12/2017 01:25	119.0	4	100.0
02/12/2017 01:30	142.0	4	100.0
02/12/2017 01:35	122.0	4	100.0
02/12/2017 01:40	139.0	4	100.0
02/12/2017 01:45	140.0	4	100.0
02/12/2017 01:50	135.0	4	100.0
02/12/2017 01:55	107.0	4	100.0
02/12/2017 02:00	144.0	4	100.0
02/12/2017 02:05	148.0	4	100.0
02/12/2017 02:10	113.0	4	100.0
02/12/2017 02:15	112.0	4	100.0
02/12/2017 02:20	127.0	4	100.0
02/12/2017 02:25	107.0	4	100.0
02/12/2017 02:30	109.0	4	100.0
02/12/2017 02:35	109.0	4	100.0
02/12/2017 02:40	109.0	4	100.0
02/12/2017 02:45	106.0	4	100.0
02/12/2017 02:50	102.0	4	100.0
02/12/2017 02:55	74.0	4	100.0
02/12/2017 03:00	71.0	4	100.0
02/12/2017 03:05	59.0	4	100.0
02/12/2017 03:10	67.0	4	100.0
02/12/2017 03:15	69.0	4	100.0
02/12/2017 03:20	65.0	4	100.0
02/12/2017 03:25	67.0	4	100.0
02/12/2017 03:30	61.0	4	100.0
02/12/2017 03:35	52.0	4	100.0
02/12/2017 03:40	64.0	4	100.0
02/12/2017 03:45	60.0	4	100.0
02/12/2017 03:50	44.0	4	100.0
02/12/2017 03:55	50.0	4	100.0
