5 Minutes	Flow (Veh/5 Minutes)	# Lane Points	% Observed
07/02/2017 00:00	263.0	4	75.0
07/02/2017 00:05	267.0	4	75.0
07/02/2017 00:10	232.0	4	75.0
07/02/2017 00:15	226.0	4	75.0
07/02/2017 00:20	211.0	4	75.0
07/02/2017 00:25	204.0	4	75.0
07/02/2017 00:30	189.0	4	75.0
07/02/2017 00:35	210.0	4	75.0
07/02/2017 00:40	207.0	4	75.0
07/02/2017 00:45	183.0	4	75.0
07/02/2017 00:50	188.0	4	75.0
07/02/2017 00:55	160.0	4	75.0
07/02/2017 01:00	162.0	4	75.0
07/02/2017 01:05	154.0	4	75.0
07/02/2017 01:10	195.0	4	75.0
07/02/2017 01:15	155.0	4	75.0
07/02/2017 01:20	140.0	4	75.0
07/02/2017 01:25	150.0	4	75.0
07/02/2017 01:30	169.0	4	75.0
07/02/2017 01:35	153.0	4	75.0
07/02/2017 01:40	157.0	4	75.0
07/02/2017 01:45	138.0	4	75.0
07/02/2017 01:50	163.0	4	75.0
07/02/2017 01:55	169.0	4	75.0
07/02/2017 02:00	165.0	4	75.0
07/02/2017 02:05	155.0	4	75.0
07/02/2017 02:10	161.0	4	75.0
07/02/2017 02:15	187.0	4	75.0
07/02/2017 02:20	142.0	4	75.0
07/02/2017 02:25	152.0	4	75.0
07/02/2017 02:30	140.0	4	75.0
07/02/2017 02:35	138.0	4	75.0
07/02/2017 02:40	142.0	4	75.0
07/02/2017 02:45	113.0	4	75.0
07/02/2017 02:50	136.0	4	75.0
07/02/2017 02:55	111.0	4	75.0
07/02/2017 03:00	93.0	4	75.0
07/02/2017 03:05	96.0	4	75.0
07/02/2017 03:10	115.0	4	75.0
07/02/2017 03:15	94.0	4	75.0
07/02/2017 03:20	77.0	4	75.0
07/02/2017 03:25	92.0	4	75.0
07/02/2017 03:30	83.0	4	75.0
07/02/2017 03:35	83.0	4	75.0
07/02/2017 03:40	102.0	4	75.0
07/02/2017 03:45	107.0	4	75.0
07/02/2017 03:50	85.0	4	75.0
07/02/2017 03:55	95.0	4	75.0
07/02/2017 04:00	88.0	4	75.0
